FileName,md5Hash,Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
VirusShare_a4b79630bf4f332a4579332d07f7bac2,a4b79630bf4f332a4579332d07f7bac2,332,0,0,0,4,0,0,8192,5,12,4,1048576,0,661424,0,0
VirusShare_99a4fe4ba35df8a4b965e50ddb387ce8,99a4fe4ba35df8a4b965e50ddb387ce8,332,0,0,0,5,0,0,4096,9,0,5,1048576,32768,1720,0,0
WlanMediaManager (2).dll,95c32f71270ad1ba0c9f1a147dd6b0c0,34404,84,574240,10,10,626928,152,517128,14,10,7,262144,16736,1096,0,1
VirusShare_aa93fa1d54678c8348e4a60c0aa5ff27,aa93fa1d54678c8348e4a60c0aa5ff27,332,0,0,0,5,0,0,200704,9,0,5,1048576,0,2824,0,0
sqlxmlx (5).dll,a1b21dc55cb1f698217a8f53d4cb19f5,332,28,4672,6,6,286528,208,4096,9,0,5,262144,320,1032,0,1
VirusShare_d7706148ca4258e7b552c38164dc2d10,d7706148ca4258e7b552c38164dc2d10,332,0,0,0,4,0,0,16384,1,71,4,1048576,0,21768,0,0
VirusShare_bd11a7955666af2f628d9697788db6d8,bd11a7955666af2f628d9697788db6d8,332,0,0,1,4,0,0,4096,6,0,3,1048576,0,23504,0,0
sfc (6).dll,db0e9511f03d9ede17d92784ff602838,34404,28,4096,6,6,4128,688,0,9,0,2,262144,320,1008,0,1
recovery (2).dll,fa55441204e6168bf9258a0b2a1d3a70,34404,84,57488,10,10,60784,168,50048,14,10,7,262144,16736,15272,0,1
VirusShare_dc34f6cb17f69e3df8380e4c0874d1e2,dc34f6cb17f69e3df8380e4c0874d1e2,332,28,94208,0,4,0,0,103748,6,0,6,1048576,0,59920,0,0
OfflineScannerShell (2).exe,07bc9badab9bbd3fb6dea4fbc4e76f9e,34404,84,273120,10,10,0,0,224952,14,10,6,524288,49632,86800,0,1
Microsoft.Build (8).dll,03a28aacb8071622b4a406874eaf2e54,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1092,0,1
ktmutil (8).exe,dcf48cada7cd0e1aca8c966bef1e3758,34404,28,4768,6,6,0,0,4096,9,0,5,524288,33088,2088,0,1
sha256sum.exe,35b07fa594103c2b28a9cf9acd45c610,34404,28,53248,0,4,0,0,70304,2,28,9,2097152,32768,1256,0,1
Microsoft.VisualStudio.TextManager.Interop.12.0.dll,631787fa7ea3884cac0f3dd029ab673a,332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,1168,0,1
ncryptui.dll,2fba1437cafe487a6d85d2271c993920,332,28,5120,6,6,48272,91,4096,9,0,4,262144,320,10992,0,1
VirusShare_7ffd732e5b5afa09444e085300723860,7ffd732e5b5afa09444e085300723860,332,0,0,1,4,0,0,4096,4,21,4,1048576,0,10328,0,0
Xceed.Wpf.DataGrid.dll,a389728a7b54d59c2772ba5fe8c4fd4b,332,28,2222100,0,4,0,0,8192,11,0,3,1048576,34144,1128,0,1
wshext (7).dll,bdac64cc4ff4082a15bc0a48fdde21ab,34404,28,5856,6,6,104112,335,4096,9,0,5,262144,64,6768,0,1
PasswordOnWakeSettingFlyout (2).exe,9f83e7bd7de8a6c75eb2350d46862b2d,332,84,5760,10,10,0,0,32768,14,10,6,262144,49600,3592,0,1
VirusShare_8acba11035b2d9ab3622b6dc5702327d,8acba11035b2d9ab3622b6dc5702327d,332,0,0,0,4,0,0,0,6,0,4,1048576,0,1068704,0,0
VirusShare_dafa42423eb1656ffe7c20270536b1af,dafa42423eb1656ffe7c20270536b1af,332,0,0,0,4,0,0,159744,6,0,4,1048576,0,397648,0,0
msenv90p.dll,2da162b0e9634565a63013ed5549d14a,332,84,13952,10,6,20816,162,32768,14,10,6,1048576,1344,992,0,1
VirusShare_6d7171387c3bbac12b399342468d2b50,6d7171387c3bbac12b399342468d2b50,332,0,0,0,4,0,0,8192,6,0,4,1048576,0,1968,0,0
VirusShare_d3931b8f1cfa66d6230a049188baa7ea,d3931b8f1cfa66d6230a049188baa7ea,332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0,0
VirusShare_58a196926103df8a370729deda63a39b,58a196926103df8a370729deda63a39b,332,0,0,0,4,0,0,278964,2,50,9,1048576,0,0,0,0
HelpPane (2).exe,cdc3893777c157b13897b8a9144c1a39,34404,84,352656,10,10,0,0,298328,14,10,7,524288,49504,536416,0,1
vsdebug (2).dll,e9f4b2be544c2b23035f881df02754a3,332,84,2585544,10,6,27760,371,2609152,14,10,6,1048576,320,52736,0,1
VirusShare_28ee2e4365d0f749494140159568d42d,28ee2e4365d0f749494140159568d42d,332,0,0,0,4,0,0,281260,2,50,4,1048576,0,7132,0,0
VirusShare_a35b1c4b3497a0c4f25088542287da0b,a35b1c4b3497a0c4f25088542287da0b,332,0,0,0,5,0,0,36864,9,0,5,1048576,32768,224,0,0
kbd103 (3).dll,2b9938bd74862a2fd6969539d8dba3c6,34404,84,11872,10,10,11760,112,0,14,10,4,262144,352,1040,0,1
odbcint (6).dll,6d095edf5647f3ba45451c7aa9245f24,34404,0,0,6,6,0,0,0,9,0,1,262144,320,224232,0,1
VirusShare_923cf601e1ca56ee09e971adc2e0d065,923cf601e1ca56ee09e971adc2e0d065,332,0,0,0,4,0,0,12288,6,0,3,1048576,0,0,0,0
VirusShare_3311bfb3c35339f6c435a4e267a85877,3311bfb3c35339f6c435a4e267a85877,332,0,0,9,5,217088,129,0,9,0,10,0,0,48508,0,0
VirusShare_7b95622cacc569cbe5fb4b9ad23d9ee3,7b95622cacc569cbe5fb4b9ad23d9ee3,332,0,0,5,8,335872,65,0,9,0,10,0,0,47964,0,0
VirusShare_d98517c14e6027c11f5b0f0613b739f7,d98517c14e6027c11f5b0f0613b739f7,332,0,0,0,4,0,0,0,0,57,2,0,1,174,0,0
VirusShare_467cdb6c8a7d88d784f3683aeaa868ba,467cdb6c8a7d88d784f3683aeaa868ba,332,0,0,9,6,0,0,0,5,0,3,1048576,0,3128,0,0
VirusShare_6c5405b447b6124d2a6356e4445750e1,6c5405b447b6124d2a6356e4445750e1,332,0,0,0,4,0,0,8192,5,12,4,1048576,0,109020,0,0
Microsoft.Excel.ReportingServices.QueryDesigners.resources (33).dll,cb8937d3a82e535160b13949b69f6424,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1528,0,1
Microsoft.Mashup.DocumentServices.resources (38).dll,0c0242732d21ca6835fd6a6385466bea,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1392,0,1
VirusShare_a376bf1104af61ba7731ddb593fa90ae,a376bf1104af61ba7731ddb593fa90ae,332,0,0,0,4,0,0,56072,2,50,4,1048576,0,4708,0,0
samsrv (2).dll,ab25414e0736eefa6ee50969a5177ad2,34404,84,691024,10,10,797680,11592,671064,14,10,7,262144,16736,37544,0,1
VirusShare_e96b6e62e8c7368197ad277fa0088cd2,e96b6e62e8c7368197ad277fa0088cd2,332,0,0,5,9,249856,112,0,6,0,12,0,0,50308,0,0
VirusShare_5374346ade9fad4e73f11980a7a1070f,5374346ade9fad4e73f11980a7a1070f,332,0,0,0,4,0,0,0,66,88,9,1048576,0,112984,0,0
VirusShare_1f41b3175778fc1112ffb00644784595,1f41b3175778fc1112ffb00644784595,332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0,0
Microsoft.Mashup.Client.Windows.resources (78).dll,b0f9d195ead0e886722aa2d6e7285755,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1200,0,1
xwreg (2).dll,4fdd9ee3701362be201494d74b83713f,332,84,16352,10,10,80176,104,86016,14,10,6,262144,16704,8248,0,1
VirusShare_076851c16888bb8db273d29843216bb5,076851c16888bb8db273d29843216bb5,332,0,0,0,4,0,0,28672,6,0,5,1048576,0,4680,0,0
Microsoft.Mashup.ProviderShared.dll,8c8b073911e6e111494ec0dfe7ee4e3b,332,28,44464,0,4,0,0,8192,11,0,3,1048576,34112,1368,0,1
VirusShare_155ffbe8c4eb69a812f8fe8c802df000,155ffbe8c4eb69a812f8fe8c802df000,332,0,0,0,4,76592,68,61440,8,0,5,1048576,0,0,0,0
VirusShare_e0fef99d7cf53fc4aaa42bea30372dda,e0fef99d7cf53fc4aaa42bea30372dda,332,0,0,8,9,256228,68,0,8,0,3,0,0,5836,0,0
Microsoft.TeamFoundation.TestManagement.PcwPlugin.dll,9b30bfe8721fbdf11bed161334394164,332,28,25308,0,4,0,0,8192,48,0,3,1048576,34144,1408,0,1
VirusShare_50a5a7ff59bf819641ad2fa66f45ce4a,50a5a7ff59bf819641ad2fa66f45ce4a,332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3120,0,0
aspnet_filter (10).dll,e37ae803dfc388295eb8233617d10c42,332,56,12240,8,5,4348,136,4096,8,0,4,1048576,64,1616,0,1
VirusShare_5531172ad34a954cac34ad3f25f88e50,5531172ad34a954cac34ad3f25f88e50,332,0,0,0,5,0,0,208896,9,0,4,1048576,32768,40236,0,0
VirusShare_c1ed2c8a53d35f37370b26adb1081036,c1ed2c8a53d35f37370b26adb1081036,332,0,0,0,5,0,0,4096,9,0,6,1048576,0,2096,0,0
VirusShare_ff1f8be6898224b6763c8b049d2a2810,ff1f8be6898224b6763c8b049d2a2810,332,0,0,0,5,0,0,36864,9,0,5,1048576,0,19224,0,0
ProvProvider (3).dll,dcbaecbf5c2d35f57acd8154f9ad16ab,332,84,93104,10,10,553968,203,577536,14,10,5,262144,16704,5504,0,1
VirusShare_fefdfccdac5fbf00de8ede87d4444db1,fefdfccdac5fbf00de8ede87d4444db1,332,0,0,1,4,0,0,4096,6,0,3,1048576,0,23504,0,0
VirusShare_099253ab74f3a343aca57cbe184afce0,099253ab74f3a343aca57cbe184afce0,332,0,0,0,5,69632,263,32768,11,0,9,1048576,0,3796,0,0
VirusShare_b5c2d58f26bc4b1b667ff2d3d59ef4fb,b5c2d58f26bc4b1b667ff2d3d59ef4fb,332,0,0,1,4,0,0,4096,6,0,3,1048576,0,23504,0,0
mfx_mft_encrypt_32 (3).dll,5fdb312317bac443d753878a772ee0ea,332,84,2198816,0,6,2277264,196,1994752,14,0,6,1048576,16704,1024,0,1
VirusShare_1fa5a70602a7903512f8b73476926700,1fa5a70602a7903512f8b73476926700,332,0,0,1,4,0,0,4096,6,0,3,1048576,0,23504,0,0
VirusShare_a1e7a5cecd58d9fb4f4e1a0c3ebe1c9c,a1e7a5cecd58d9fb4f4e1a0c3ebe1c9c,332,0,0,0,4,28352,79,20480,8,0,7,1048576,64,7357,0,0
VirusShare_07930933589e2d54be02f87e0a5d1800,07930933589e2d54be02f87e0a5d1800,332,0,0,0,4,0,0,8192,9,0,5,1048576,0,52224,0,0
VirusShare_3ce44a3e3d5685cdc9719ed754aa369f,3ce44a3e3d5685cdc9719ed754aa369f,332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0,0
VirusShare_434069da2e5b1850e796ec3f9442eb69,434069da2e5b1850e796ec3f9442eb69,332,0,0,0,4,0,0,223380,2,50,5,1048576,0,576,0,0
Microsoft.Windows.SoftwareLogo.Tests.resources (13).dll,d3b8ddf34dd5f8c9ad92b884068c68bf,332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,1128,0,1
MFC90KOR (2).DLL,c080e2884a11515af64614ec17cdbc9f,332,0,0,9,5,0,0,0,9,0,1,1048576,1344,36096,0,1
VirusShare_901172ff5302f55a32df80dcd6ba5809,901172ff5302f55a32df80dcd6ba5809,332,28,4096,8,5,0,0,77824,8,0,6,1048576,64,30064,0,0
VirusShare_291e03837f9603e44a76bf54a7ade292,291e03837f9603e44a76bf54a7ade292,332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0,0
VirusShare_2a53e6e627334a31331a8d6c4bacbeb2,2a53e6e627334a31331a8d6c4bacbeb2,332,0,0,0,4,0,0,8576,2,50,7,1048576,0,1636,0,0
VirusShare_fa46862968b249ed8392515c2662fa3a,fa46862968b249ed8392515c2662fa3a,332,0,0,0,5,0,0,0,10,0,4,1048576,32768,7440,0,0
VirusShare_71a5a8b6197ca0608633af84aa30c210,71a5a8b6197ca0608633af84aa30c210,332,0,0,0,5,0,0,4096,9,0,4,1048576,32768,19824,0,0
CbsMsg (9).dll,730ddcd0c731b862b73e43efd7b1cc7b,34404,28,4304,6,6,8240,51,4096,9,0,5,262144,64,20304,0,1
VirusShare_71f3b74b61c85f4474a792c860f7f05f,71f3b74b61c85f4474a792c860f7f05f,332,0,0,0,5,0,0,12288,9,0,7,1048576,0,27200,1,0
VirusShare_9b917db899c9fbcbb0d2e0e7928c3f59,9b917db899c9fbcbb0d2e0e7928c3f59,332,0,0,1,4,0,0,4096,6,0,4,1048576,0,10328,0,0
odbcbcp (5).dll,813a8a7973b6bff60e8eb6583dc53afe,332,28,4336,6,6,33056,701,4096,9,0,5,262144,320,1000,0,1
VirusShare_283547bc628115b8ba81b3015ec28dc3,283547bc628115b8ba81b3015ec28dc3,332,0,0,0,5,0,0,0,9,0,4,4194304,32768,13352,0,0
CNBP_284.DLL,59dd5d284d3c9751f271e8810a8d4dff,34404,0,0,6,6,0,0,0,9,0,1,262144,64,670660,1,1
VirusShare_f4a77cc295a0e448e1dc40976af7c282,f4a77cc295a0e448e1dc40976af7c282,332,0,0,6,6,0,0,0,8,0,3,1048576,0,1604,0,0
VirusShare_e455382b436fa2ee053704b23f5e7ee4,e455382b436fa2ee053704b23f5e7ee4,332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0,0
VirusShare_08ff74d50f914a9f222b6b762b06be40,08ff74d50f914a9f222b6b762b06be40,332,0,0,0,5,0,0,118784,10,0,4,1048576,32768,17348,0,0
VirusShare_5bb475f76d644e52b8f488caab788999,5bb475f76d644e52b8f488caab788999,332,0,0,0,5,0,0,184320,9,0,6,1048576,0,4056,0,0
Microsoft.Mashup.Client.Windows.resources (38).dll,1eaa77fd980bf6fe6d1a3de9b3c06092,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1360,0,1
VirusShare_7dba04ccd3270be7fbd091d544f1c146,7dba04ccd3270be7fbd091d544f1c146,332,0,0,0,5,0,0,4096,9,0,5,1048576,32768,27064,0,0
Microsoft.TeamFoundation.Git.Provider.resources (4).dll,59c32dafb4455ed513197c600d56e669,332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,1320,0,1
System.Net.WebSockets.Client (2).dll,46352a02a39bba1ab49c677b5ca68fcb,332,0,0,0,4,0,0,8192,48,0,3,1048576,34112,1212,0,1
VirusShare_3064295d4369ddfadac3ef7eaa398865,3064295d4369ddfadac3ef7eaa398865,332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3144,0,0
VirusShare_e7a1225ee887f9899bb71d6e6abc3c38,e7a1225ee887f9899bb71d6e6abc3c38,332,0,0,0,5,0,0,188416,9,0,6,1048576,0,9760,0,0
VirusShare_ac3a2d5cbe7e23ac6e8c8c2059ec30d0,ac3a2d5cbe7e23ac6e8c8c2059ec30d0,332,0,0,0,4,0,0,69632,6,0,4,1048576,0,26928,0,0
VirusShare_5b3fcf74c66ae5ac654205804c9506e8,5b3fcf74c66ae5ac654205804c9506e8,332,56,119280,0,5,0,0,118784,11,0,5,1048576,33088,620472,0,0
VirusShare_614f3f5d74fceea2e9c1f563b40afab3,614f3f5d74fceea2e9c1f563b40afab3,332,28,77312,0,5,0,0,69632,9,0,5,1048576,33088,36240,0,0
VirusShare_9fecd615b6d360e764da733eb4b621a7,9fecd615b6d360e764da733eb4b621a7,332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3120,0,0
VirusShare_560d0bd9a8c21f72695bbd8fc66eb3d0,560d0bd9a8c21f72695bbd8fc66eb3d0,332,0,0,0,5,0,0,98304,9,0,5,1048576,0,19224,0,0
VirusShare_07b5d0acdf04536c09c0441f897f84de,07b5d0acdf04536c09c0441f897f84de,332,0,0,0,5,0,0,0,2,25,3,1048576,0,13116,0,0
Microsoft.VisualStudio.Workspace.Extensions.Implementation.resources (10).dll,b495e9bbc43c67c3b02fcc67c82255cb,332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,1248,0,1
VirusShare_92092f89f1586fb0900bab567c5f0bdd,92092f89f1586fb0900bab567c5f0bdd,332,0,0,0,4,0,0,280344,2,50,6,1048576,0,1716,0,0
VirusShare_e2f2d673bb96836949d575dc66f3aea1,e2f2d673bb96836949d575dc66f3aea1,332,0,0,0,5,0,0,12288,9,0,3,1048576,32768,2496,0,0
expand.exe,f779a5b88e82749af84095c82ba3821a,34404,28,36864,0,4,0,0,53840,2,28,9,2097152,32768,1256,0,1
AccessibleMarshal.dll,3f5293e1009267d1293bb9c63e19c670,34404,84,19696,0,6,21168,176,16384,14,11,7,1048576,352,6632,0,1
Unicode.dll,27c12c5c2e4621c27f60ebf3a6aabe3c,34404,28,24576,0,4,40960,147,45504,2,28,10,2097152,0,0,0,1
dbghelp (7).dll,9ced0d922878dc025bf0c6bb9a8ad5d7,332,84,111296,10,10,1332352,6856,1486848,14,10,7,262144,16704,2896,0,1
WSDPrintProxy (3).DLL,a2665d4ba0f645db4d2b7114f053ccac,34404,28,4672,6,6,49648,167,4096,9,0,5,262144,320,1064,0,1
VirusShare_cecf40d9d192664d744d5cf4bc463378,cecf40d9d192664d744d5cf4bc463378,332,0,0,8,5,0,0,0,9,0,3,1048576,0,1872,0,0
System.Linq.ni.dll,133786bd9985e5851eae7bc3191caf0d,34404,28,12156,0,5,0,0,0,11,0,3,0,33088,1064,0,1
msimtf (3).dll,748b5ed0dfe34345e7e39313b8ef23b7,34404,84,34576,10,10,39136,228,32192,14,10,7,262144,16736,1608,0,1
Microsoft.Excel.MDXQueryGenerator.resources (20).dll,7aeb923fb4923e74a53d2ad177918264,332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1256,0,1
Microsoft.Isam.Esent.Interop.ni.dll,60b001a454e0866186ebc876023d9a55,34404,56,1578960,0,5,0,0,0,11,0,4,0,33088,1254,0,1
VirusShare_64ca235d6b9f89789a2371e3ef47890a,64ca235d6b9f89789a2371e3ef47890a,332,0,0,0,5,0,0,24576,10,0,5,1048576,32832,56952,0,0
VirusShare_e6332a0e23083659acc71db1757ec56f,e6332a0e23083659acc71db1757ec56f,332,0,0,0,4,0,0,70548,2,50,11,1048576,0,0,0,0
SensorsCpl (3).dll,77bc589c978464f5361de2196a8b4b69,332,56,4096,10,10,0,0,0,14,10,2,262144,1344,1310624,0,1
api-ms-win-crt-environment-l1-1-0 (28).dll,ac290dad7cb4ca2d93516580452eda1c,332,84,4112,10,10,4368,802,0,14,10,2,262144,1344,1008,0,1
VirusShare_b1d2b3547ac2636bf2a491e5e7439225,b1d2b3547ac2636bf2a491e5e7439225,332,0,0,0,5,0,0,253952,9,0,5,1048576,32768,72456,0,0
VirusShare_89193a059a559ae0851c30b0dac59cb1,89193a059a559ae0851c30b0dac59cb1,332,0,0,0,4,0,0,223380,2,50,5,1048576,0,576,0,0
d3d10level9 (2).dll,24dc9ef87b63b4bf3b59fe7ca41bc3f5,332,84,25664,10,10,297152,4325,331776,14,10,6,262144,16704,3784,0,1
MBPPCn64 (2).dll,f63631c6d92033403eb7fad245439f38,34404,28,4912,6,6,44720,169,4096,8,0,5,262144,320,6816,0,1
sessionmsg (2).exe,dc68a9b01159bee2e9f5e5930394e9eb,34404,84,50752,10,10,0,0,42688,14,10,7,524288,49632,5984,0,1
CNB_0309.DLL,77ed4e7e771f5c825b01707f61de89ae,34404,28,4448,6,6,27776,249,4096,9,0,5,262144,64,976,0,1
tiff2rgba (2).exe,54cb904f2be8c833c545e97a91af5f1b,34404,28,14160,0,6,0,0,12288,14,0,7,1048576,33120,480,0,1
Microsoft.VisualStudio.LanguageServices.Xaml.dll,191e2ea8d2f857361126366018012f6a,332,56,42040,0,4,0,0,8192,48,0,3,1048576,34144,1132,0,1
VirusShare_5f31746c51787986be6272a38d1f3d94,5f31746c51787986be6272a38d1f3d94,332,0,0,0,4,0,0,0,2,25,3,1048576,0,932,0,0
cryptnet (6).dll,58b3cf7a3bcf446ed0916a623b54e6f5,34404,28,5984,6,6,145536,769,4096,9,0,5,262144,320,1080,0,1
VirusShare_931bbd2d2056e62a688c7cfa87da0cd5,931bbd2d2056e62a688c7cfa87da0cd5,332,0,0,0,5,0,0,4096,9,0,6,1048576,0,2096,0,0
VirusShare_28fa82e9346128b9e84cebc62b102a20,28fa82e9346128b9e84cebc62b102a20,332,0,0,170,4,0,0,4096,6,0,4,1048576,0,2604,0,0
Microsoft.VisualStudio.Setup.Common.ni.dll,09c77d22d86ae1d2c1ae8068d98c81ad,332,56,889004,0,5,0,0,0,11,0,4,0,34112,1264,0,1
VirusShare_b834f83ad138dc99fb607c02e44cc5cc,b834f83ad138dc99fb607c02e44cc5cc,332,0,0,0,5,0,0,36864,10,0,4,1048576,33024,436,0,0
VirusShare_7b2efd291fa367500dead5a2ee660e98,7b2efd291fa367500dead5a2ee660e98,332,0,0,0,4,0,0,32768,7,0,4,1048576,0,176860,0,0
api-ms-win-core-fibers-l1-1-1 (3).dll,800d7e0d6dcecc4716c423d408b7201d,34404,84,4096,10,10,4192,124,0,14,10,2,262144,352,1008,0,1
MUILanguageCleanup (2).dll,2d55413912485584f40ce1965fe45f0f,34404,84,14016,10,10,15136,224,12560,14,10,6,262144,16736,1096,0,1
VirusShare_f2d5605dfe144ac41a95f8568dee41e4,f2d5605dfe144ac41a95f8568dee41e4,332,56,119280,0,5,0,0,118784,11,0,5,1048576,33088,620472,0,0
nbtstat (2).exe,918c4a42d871d4b06313576100240c1b,34404,84,18240,10,10,0,0,16656,14,10,6,524288,49504,2112,0,1
kyweds10 (2).dll,b67de8e6f6fdd49f208ab487a303b67b,34404,28,4432,6,6,12832,165,4096,9,0,5,262144,64,808,0,1
VirusShare_4ed4a6c0d1e58852258a982ec4bd8f59,4ed4a6c0d1e58852258a982ec4bd8f59,332,0,0,0,4,0,0,8192,5,12,4,1048576,0,5752040,0,0
dmloader (5).dll,d344f2781a89e3348823771dcc5cf018,332,28,4416,6,6,47968,165,4096,9,0,4,262144,320,1072,0,1
Microsoft.XslDebugger.Host.exe,2253cbfbb0ffa53985d308a285c84df1,332,56,41056,0,4,0,0,8192,48,0,3,1048576,34144,1480,0,1
libssh2-1.dll,ff1d75966246c09031c7017f2dfb7fdf,332,0,0,1,4,208896,4492,217948,2,27,10,2097152,0,0,0,1
VirusShare_fff848a7dd117f164e9ebf6ec0c6e40f,fff848a7dd117f164e9ebf6ec0c6e40f,332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3120,0,0
VirusShare_6ce7fae4a9037f2e2e233278a0ebda9f,6ce7fae4a9037f2e2e233278a0ebda9f,332,0,0,0,4,0,0,0,2,25,9,1048576,0,2404864,0,0
PresentationCore.ni (2).dll,f4968201cf1909dbdbce9019db4f29f4,34404,28,16173812,0,5,0,0,0,8,0,6,0,320,1112,0,1
VirusShare_7336774c0771c79cde1aaabd072f544b,7336774c0771c79cde1aaabd072f544b,332,0,0,0,4,0,0,21440,6,0,1,1048576,0,26664,0,0
