Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses
332,28,44464,0,4,0,0,8192,11,0,3,1048576,34112,1368,0
332,0,0,0,4,76592,68,61440,8,0,5,1048576,0,0,0
332,0,0,8,9,256228,68,0,8,0,3,0,0,5836,0
332,28,25308,0,4,0,0,8192,48,0,3,1048576,34144,1408,0
332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3120,0
332,56,12240,8,5,4348,136,4096,8,0,4,1048576,64,1616,0
332,0,0,0,5,0,0,208896,9,0,4,1048576,32768,40236,0
332,0,0,0,5,0,0,4096,9,0,6,1048576,0,2096,0
332,0,0,0,5,0,0,36864,9,0,5,1048576,0,19224,0
332,84,93104,10,10,553968,203,577536,14,10,5,262144,16704,5504,0
332,0,0,1,4,0,0,4096,6,0,3,1048576,0,23504,0
332,0,0,0,5,69632,263,32768,11,0,9,1048576,0,3796,0
332,0,0,1,4,0,0,4096,6,0,3,1048576,0,23504,0
332,84,2198816,0,6,2277264,196,1994752,14,0,6,1048576,16704,1024,0
332,0,0,1,4,0,0,4096,6,0,3,1048576,0,23504,0
332,0,0,0,4,28352,79,20480,8,0,7,1048576,64,7357,0
332,0,0,0,4,0,0,8192,9,0,5,1048576,0,52224,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
332,0,0,0,4,0,0,223380,2,50,5,1048576,0,576,0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,1128,0
332,0,0,9,5,0,0,0,9,0,1,1048576,1344,36096,0
332,28,4096,8,5,0,0,77824,8,0,6,1048576,64,30064,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
332,0,0,0,4,0,0,8576,2,50,7,1048576,0,1636,0
332,0,0,0,5,0,0,0,10,0,4,1048576,32768,7440,0
332,0,0,0,5,0,0,4096,9,0,4,1048576,32768,19824,0
34404,28,4304,6,6,8240,51,4096,9,0,5,262144,64,20304,0
332,0,0,0,5,0,0,12288,9,0,7,1048576,0,27200,1
332,0,0,1,4,0,0,4096,6,0,4,1048576,0,10328,0
332,28,4336,6,6,33056,701,4096,9,0,5,262144,320,1000,0
332,0,0,0,5,0,0,0,9,0,4,4194304,32768,13352,0
34404,0,0,6,6,0,0,0,9,0,1,262144,64,670660,1
332,0,0,6,6,0,0,0,8,0,3,1048576,0,1604,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
332,0,0,0,5,0,0,118784,10,0,4,1048576,32768,17348,0
332,0,0,0,5,0,0,184320,9,0,6,1048576,0,4056,0
332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1360,0
332,0,0,0,5,0,0,4096,9,0,5,1048576,32768,27064,0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,1320,0
332,0,0,0,4,0,0,8192,48,0,3,1048576,34112,1212,0
332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3144,0
332,0,0,0,5,0,0,188416,9,0,6,1048576,0,9760,0
332,0,0,0,4,0,0,69632,6,0,4,1048576,0,26928,0
332,56,119280,0,5,0,0,118784,11,0,5,1048576,33088,620472,0
332,28,77312,0,5,0,0,69632,9,0,5,1048576,33088,36240,0
332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3120,0
332,0,0,0,5,0,0,98304,9,0,5,1048576,0,19224,0
332,0,0,0,5,0,0,0,2,25,3,1048576,0,13116,0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,1248,0
332,0,0,0,4,0,0,280344,2,50,6,1048576,0,1716,0
332,0,0,0,5,0,0,12288,9,0,3,1048576,32768,2496,0
34404,28,36864,0,4,0,0,53840,2,28,9,2097152,32768,1256,0
34404,84,19696,0,6,21168,176,16384,14,11,7,1048576,352,6632,0
34404,28,24576,0,4,40960,147,45504,2,28,10,2097152,0,0,0
332,84,111296,10,10,1332352,6856,1486848,14,10,7,262144,16704,2896,0
34404,28,4672,6,6,49648,167,4096,9,0,5,262144,320,1064,0
332,0,0,8,5,0,0,0,9,0,3,1048576,0,1872,0
34404,28,12156,0,5,0,0,0,11,0,3,0,33088,1064,0
34404,84,34576,10,10,39136,228,32192,14,10,7,262144,16736,1608,0
332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1256,0
34404,56,1578960,0,5,0,0,0,11,0,4,0,33088,1254,0
332,0,0,0,5,0,0,24576,10,0,5,1048576,32832,56952,0
332,0,0,0,4,0,0,70548,2,50,11,1048576,0,0,0
332,56,4096,10,10,0,0,0,14,10,2,262144,1344,1310624,0
332,84,4112,10,10,4368,802,0,14,10,2,262144,1344,1008,0
332,0,0,0,5,0,0,253952,9,0,5,1048576,32768,72456,0
332,0,0,0,4,0,0,223380,2,50,5,1048576,0,576,0
332,84,25664,10,10,297152,4325,331776,14,10,6,262144,16704,3784,0
34404,28,4912,6,6,44720,169,4096,8,0,5,262144,320,6816,0
34404,84,50752,10,10,0,0,42688,14,10,7,524288,49632,5984,0
34404,28,4448,6,6,27776,249,4096,9,0,5,262144,64,976,0
34404,28,14160,0,6,0,0,12288,14,0,7,1048576,33120,480,0
332,56,42040,0,4,0,0,8192,48,0,3,1048576,34144,1132,0
332,0,0,0,4,0,0,0,2,25,3,1048576,0,932,0
34404,28,5984,6,6,145536,769,4096,9,0,5,262144,320,1080,0
332,0,0,0,5,0,0,4096,9,0,6,1048576,0,2096,0
332,0,0,170,4,0,0,4096,6,0,4,1048576,0,2604,0
332,56,889004,0,5,0,0,0,11,0,4,0,34112,1264,0
332,0,0,0,5,0,0,36864,10,0,4,1048576,33024,436,0
332,0,0,0,4,0,0,32768,7,0,4,1048576,0,176860,0
34404,84,4096,10,10,4192,124,0,14,10,2,262144,352,1008,0
34404,84,14016,10,10,15136,224,12560,14,10,6,262144,16736,1096,0
332,56,119280,0,5,0,0,118784,11,0,5,1048576,33088,620472,0
34404,84,18240,10,10,0,0,16656,14,10,6,524288,49504,2112,0
34404,28,4432,6,6,12832,165,4096,9,0,5,262144,64,808,0
332,0,0,0,4,0,0,8192,5,12,4,1048576,0,5752040,0
332,28,4416,6,6,47968,165,4096,9,0,4,262144,320,1072,0
332,56,41056,0,4,0,0,8192,48,0,3,1048576,34144,1480,0
332,0,0,1,4,208896,4492,217948,2,27,10,2097152,0,0,0
332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3120,0
332,0,0,0,4,0,0,0,2,25,9,1048576,0,2404864,0
34404,28,16173812,0,5,0,0,0,8,0,6,0,320,1112,0
332,0,0,0,4,0,0,21440,6,0,1,1048576,0,26664,0
332,0,0,8,6,0,0,0,9,0,8,1048576,0,12904,0
34404,84,631248,10,10,0,0,615536,14,10,6,524288,16736,275856,0
332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3120,0
332,0,61696,1,4,0,0,4096,6,0,3,1048576,0,7052,0
332,0,0,0,4,53716,128,0,2,25,3,0,1,176,0
34404,84,256960,0,6,312688,124,217088,14,10,6,1048576,16736,0,0
332,0,0,0,5,0,0,200704,9,0,5,1048576,0,2824,0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,1336,0
332,0,0,0,4,0,0,0,0,57,2,0,1,174,0
332,84,5952,10,10,0,0,36864,14,10,5,262144,49472,3848,0
332,0,0,0,4,0,0,322780,2,50,7,1048576,0,37040,0
332,84,34208,10,6,199504,320,208896,14,10,7,1048576,320,960,0
332,0,0,0,5,0,0,0,10,0,4,1048576,32768,4360,0
332,28,5008,6,6,0,0,4096,9,0,4,262144,33088,1744,0
332,0,0,0,5,0,0,20480,9,0,33,1048576,32768,1056,0
332,84,18464,10,10,101216,760,106496,14,10,6,262144,16704,5080,0
332,56,119280,0,5,0,0,118784,11,0,5,1048576,33088,620472,0
332,0,0,0,4,0,0,270664,2,50,5,1048576,0,2012,0
332,28,4496,6,6,62288,163,4096,9,0,4,262144,320,1696,0
332,0,0,0,4,0,0,30676,2,50,4,1048576,0,6660,0
332,0,0,0,5,0,0,81920,10,0,4,1048576,32768,5206,0
332,0,0,0,4,0,0,8192,5,12,4,1048576,0,102636,0
34404,84,124640,10,10,131616,112,102920,14,10,7,262144,16736,34960,0
34404,84,2467584,5,6,2654976,287672,2121728,14,0,8,1048576,352,1280,1
332,0,0,0,4,0,0,8192,5,12,4,1048576,0,998412,0
332,56,3327984,0,6,0,0,3325952,12,0,7,1048576,33088,1864,0
332,0,0,0,4,0,0,32768,7,0,4,1048576,0,172464,0
332,84,4096,10,10,4336,313,0,14,10,2,262144,1344,1008,0
332,0,0,0,4,0,0,32768,7,0,4,1048576,0,173536,0
332,84,4096,10,10,4192,428,0,14,10,2,262144,17728,984,0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,1336,0
332,28,119360,0,6,120208,508,110592,14,10,5,1048576,320,928,0
332,0,0,0,4,0,0,32768,7,0,4,1048576,0,174472,0
332,28,4480,6,6,0,0,4096,9,0,4,262144,33088,2024,0
34404,84,3123776,0,6,3867744,116,2514944,14,10,6,1048576,49504,1040,0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,1136,0
332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3152,0
332,0,0,0,5,0,0,4096,9,0,3,1048576,32768,4728,0
34404,84,342512,10,10,352976,116,170272,14,10,7,262144,16736,1168,0
332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1352,0
332,0,0,0,4,14928,68,4096,32,1,4,1048576,0,54344,0
332,0,0,1,4,0,0,4096,6,0,3,1048576,0,1520,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
332,0,0,0,5,0,0,8192,9,0,6,1048576,1024,2640,0
332,28,4784,6,6,107104,162,4096,9,0,4,262144,320,17336,0
332,0,0,0,4,0,0,8192,5,12,4,1048576,0,49440,0
34404,28,29552,502,5,36352,88,28672,10,0,6,1048576,448,984,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
34404,84,11936,10,10,11840,84,0,14,10,4,262144,16736,1032,0
332,0,0,6,10,318308,128,0,6,0,3,0,0,2712,0
332,0,0,1,4,0,0,4096,6,0,3,1048576,0,13972,0
332,56,260108,0,5,0,0,0,11,0,4,0,34112,1338,0
332,28,91888,0,5,0,0,86016,9,0,5,1048576,33088,52120,0
332,28,98768,0,4,157184,126,98304,3,10,5,1048576,0,19860,0
332,56,119280,0,5,0,0,118784,11,0,5,1048576,33088,620472,0
332,56,723648,0,5,0,0,0,11,0,4,0,34112,1148,0
332,0,0,0,5,0,0,32768,9,0,10,1048576,32768,568,0
34404,84,159152,10,10,165488,196,127528,14,10,6,262144,16736,1288,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
332,0,0,0,4,0,0,32768,7,0,4,1048576,0,172220,0
332,28,6996,0,4,0,0,4096,6,0,3,1048576,0,11363,0
332,0,0,0,4,0,0,0,0,0,5,1048576,0,184,0
332,0,0,1,4,0,0,4096,6,0,3,1048576,0,1520,0
332,0,0,0,5,0,0,4096,9,0,7,1048576,33792,6504,0
332,0,0,0,4,0,0,223380,2,50,5,1048576,0,576,0
332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3120,0
332,28,4912,5,5,0,0,4096,6,20,4,262144,34816,7320,0
332,0,0,0,4,32672,171,4096,8,0,6,1048576,64,125634,0
332,56,1003440,0,4,0,0,8192,48,0,3,1048576,34144,81120,0
332,0,0,0,5,0,0,4096,9,0,6,1048576,0,6912,0
332,0,0,0,4,0,0,8192,5,12,4,1048576,0,1222848,0
332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,1264,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
332,0,0,0,1,0,0,0,2,25,4,1048576,0,0,0
332,56,100300,0,4,0,0,8192,48,0,3,1048576,34144,1376,0
34404,28,8896,6,6,8816,80,0,9,0,3,262144,320,1048,0
34404,84,26832,10,10,30976,164,22928,14,10,6,262144,16736,20200,0
452,84,47680,10,10,196224,621,225280,14,10,7,262144,16704,5328,0
332,0,0,0,5,0,0,16384,10,0,4,1048576,33088,19482,0
34404,84,22336,10,10,23936,496,20960,14,10,6,262144,16736,1056,0
332,28,4096,0,5,0,0,73728,6,0,5,1048576,320,57120,0
34404,84,28496,10,10,29744,268,23760,14,10,6,262144,16736,1160,0
332,56,26844,0,5,0,0,0,11,0,4,0,34112,1186,0
332,0,0,0,4,0,0,223380,2,50,5,1048576,0,576,0
332,0,0,0,5,0,0,184320,9,0,4,1048576,32768,2496,0
332,28,4384,6,6,15776,166,4096,9,0,5,262144,320,2256,0
332,0,0,0,5,0,0,0,2,25,4,1048576,3,304944,0
332,0,0,0,4,0,0,278784,2,50,6,1048576,0,9724,0
332,0,0,0,4,0,0,0,2,25,6,0,1,512,0
332,28,5392,8,5,82384,291,4096,8,0,4,1048576,0,2360,0
332,84,7920,10,10,7824,80,0,14,10,3,262144,17728,1024,0
332,28,374880,0,5,0,0,372736,9,0,6,1048576,33088,401312,0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,1344,0
332,28,4336,6,6,21568,520,4096,9,0,4,262144,320,1016,0
332,0,0,0,4,0,0,0,2,25,6,0,1,512,0
332,0,0,0,4,0,0,8192,5,12,4,1048576,0,134184,0
332,28,4688,5,5,0,0,4096,6,20,4,262144,34816,1648,0
332,0,0,0,5,0,0,217088,9,0,10,1048576,0,0,0
34404,28,39616,5,6,44928,124,32768,14,0,9,1048576,352,840,0
332,84,17824,10,10,257664,182,266240,14,10,6,262144,16704,35160,0
34404,84,120480,10,10,131952,144,103952,14,10,7,262144,16736,4752,0
332,0,0,0,5,0,0,8192,9,0,6,1048576,32768,29264,0
332,0,0,0,5,0,0,200704,9,0,5,1048576,0,3840,0
34404,84,48000,10,10,0,0,37136,14,10,6,524288,49504,2056,0
34404,28,24576,0,4,0,0,41556,2,28,17,2097152,32768,1256,0
34404,28,4800,6,6,137104,608,4096,9,0,5,262144,320,712,0
332,0,0,0,5,0,0,176128,10,0,5,1048576,33024,265012,0
332,28,17400,0,4,0,0,8192,48,0,3,1048576,34144,46732,0
332,0,0,0,5,0,0,86016,10,0,4,1048576,33088,424,0
332,0,0,0,4,0,0,20480,7,0,4,1048576,0,84088,0
332,0,0,0,5,0,0,0,2,25,4,1048576,3,301808,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3120,0
332,0,0,0,4,184320,205,0,2,25,7,0,1,4096,0
332,0,0,170,4,0,0,4096,6,0,4,1048576,0,2604,0
332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3144,0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,1408,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
34404,28,286720,0,4,0,0,313128,2,28,9,2097152,32768,1256,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
34404,28,5264,6,6,213088,168,4096,9,0,5,262144,320,4768,0
332,0,0,0,4,0,0,28672,6,0,5,1048576,0,4680,0
332,0,0,0,5,0,0,274432,9,0,7,1048576,32768,6672,0
34404,84,12960,10,10,14000,104,12560,14,10,6,262144,16736,1432,0
332,56,119280,0,5,0,0,118784,11,0,5,1048576,33088,620472,0
332,28,4096,0,6,4128,52,0,14,10,2,1048576,1344,8660,0
332,0,0,0,4,0,0,12288,5,12,4,1048576,0,17060,0
332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3144,0
34404,84,500048,10,10,569056,56136,475392,14,10,6,262144,16736,1312,0
332,84,6256,10,10,28320,159,32768,14,10,5,262144,16704,992,0
332,28,5632,6,6,305696,166,4096,9,0,4,262144,320,113552,0
332,28,4688,6,6,67024,181,4096,9,0,4,262144,320,1040,0
332,0,0,7,8,0,0,0,7,0,3,1048576,0,2532,0
332,56,4096,10,10,0,0,0,14,10,2,262144,1344,407808,0
34404,28,4336,6,6,360832,415,4096,9,0,5,262144,64,944,0
332,56,5090228,0,5,0,0,0,11,0,4,0,34112,1012,0
332,28,40960,0,5,32800,5915,45056,13,0,13,1048576,0,130667,0
332,0,0,0,4,0,0,16384,6,0,5,1048576,0,61440,0
332,0,0,0,5,0,0,581632,9,0,4,1048576,32768,2000,0
332,0,0,0,5,0,0,327680,9,0,4,1048576,32768,2496,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
332,0,0,0,4,0,0,438272,6,0,4,1048576,0,808,0
332,0,0,0,4,31440,71,4096,7,10,5,1048576,0,58888,0
332,0,0,0,4,64704,87,53248,8,0,5,1048576,0,19716,0
332,0,0,0,5,0,0,217088,9,0,8,1048576,32768,14072,0
332,56,119280,0,5,0,0,118784,11,0,5,1048576,33088,620472,0
332,0,0,0,4,0,0,0,11,0,6,1048576,33088,9584,0
332,0,0,0,4,0,0,4664,2,50,8,1048576,0,49852,0
332,0,0,0,4,0,0,32768,7,0,4,1048576,0,167581,0
332,0,0,0,4,18160,77,16384,6,0,5,1048576,0,0,0
332,28,299564,0,4,0,0,8192,48,0,3,1048576,34144,45696,0
34404,28,4800,6,6,0,0,4096,9,0,5,524288,33088,2088,0
34404,0,0,6,6,0,0,0,9,0,1,262144,64,761840,0
332,0,0,0,5,0,0,176128,9,0,4,8000000,32768,38608,0
332,0,0,0,4,0,0,0,0,57,3,1048576,0,264,0
332,0,0,10,5,382100,132,0,8,0,3,0,0,920,0
332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3120,0
332,28,123552,0,5,0,0,122880,9,0,5,1048576,32768,59376,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
332,84,6976,10,10,33600,610,40960,14,10,5,262144,16704,1008,0
332,28,144668,0,4,0,0,8192,48,0,3,1048576,34144,9400,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
332,0,0,0,4,0,0,4096,8,0,3,1048576,0,74376,0
34404,28,335004,0,5,0,0,0,8,0,6,0,64,1120,0
332,0,0,0,4,0,0,20480,7,0,4,1048576,0,70080,0
332,0,0,1,4,0,0,4096,6,0,3,1048576,0,1520,0
34404,28,8384,8,5,9189360,3671,4096,8,0,6,1048576,320,1652,0
332,0,0,0,4,0,0,12288,5,12,4,1048576,0,68644,0
34404,84,75824,10,10,0,0,69920,14,10,6,524288,49504,2296,0
332,0,0,0,4,0,0,0,2,25,3,1048576,0,13324,0
34404,84,4222160,10,10,14680064,73,10485760,14,10,10,524288,16736,1000,0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,1160,0
332,84,5392,10,10,38704,176,45056,14,10,5,262144,16704,1048,0
34404,28,442467,0,4,307200,53,312160,2,30,13,2097152,320,111640,0
332,28,4336,0,4,33008,4231,279112,8,0,5,1048576,0,976,0
332,28,4528,6,6,22800,275,4096,9,0,4,262144,320,1056,0
332,0,0,0,4,0,0,98304,5,12,5,1048576,0,4208,0
332,28,6996,0,4,0,0,4096,6,0,3,1048576,0,11363,0
34404,28,2097296,0,6,0,0,1826816,14,0,8,1048576,33120,436,0
332,84,719856,6,6,741616,131,602112,12,10,6,1048576,320,1648,0
332,28,4352,6,6,0,0,4096,9,0,4,262144,33088,2000,0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,1104,0
34404,28,8272,6,6,8192,79,0,9,0,3,262144,320,1024,0
332,0,0,0,4,256,0,13332,1,1,5,1048576,0,0,0
332,0,0,0,4,0,0,56104,2,50,4,1048576,0,2484,0
34404,56,5535408,10,6,6212544,220,5431296,14,12,6,1048576,352,1008,0
34404,84,33136,10,10,0,0,29376,14,10,7,524288,49504,3080,0
332,0,0,0,4,24400,74,4096,7,0,3,1048576,0,64088,0
34404,28,1516944,502,5,1631840,17593,1515520,10,0,6,1048576,448,1064,0
332,84,6832,10,10,16896,109,24576,14,10,5,262144,16704,1032,0
332,0,0,0,4,31440,71,4096,7,10,5,1048576,0,58888,0
332,28,119904,0,4,0,0,8192,11,0,3,1048576,34112,1344,0
332,0,0,0,5,0,0,4096,9,0,8,1048576,32768,12480,0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,1360,0
34404,0,0,6,6,0,0,0,9,0,1,262144,64,3418320,0
332,84,18112,10,10,72416,144,77824,14,10,5,262144,16704,1120,0
332,0,0,1,4,0,0,0,2,3,7,2097152,0,3044,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
332,0,0,0,5,0,0,12288,9,0,17,1048576,32768,2136,0
332,0,0,7,7,0,0,0,7,0,5,1048576,0,27432,0
332,0,0,0,4,0,0,8192,9,0,4,1048576,0,387072,0
34404,28,8512,502,5,10224,87,8192,10,0,6,1048576,448,984,0
332,56,119280,0,5,0,0,118784,11,0,5,1048576,33088,620472,0
332,56,119280,0,5,0,0,118784,11,0,5,1048576,33088,620472,0
332,0,0,170,4,0,0,4096,6,0,4,1048576,0,2604,0
34404,84,35136,10,10,37280,148,29312,14,10,6,262144,16736,1056,0
332,0,0,5,9,0,0,0,6,0,6,1048576,0,34408,0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,1376,0
332,28,8096,6,6,8016,80,0,9,0,3,262144,1344,1024,0
332,0,0,7,7,305020,68,0,5,5,3,0,0,1696,0
332,0,0,0,4,0,0,275992,2,50,5,1048576,0,1716,0
332,56,119280,0,5,0,0,118784,11,0,5,1048576,33088,620472,0
332,0,0,0,4,0,0,20480,7,0,5,1048576,0,407464,0
332,0,0,0,4,0,0,0,6,0,3,1048576,0,0,0
332,28,4096,0,5,0,0,0,10,0,2,1048576,1344,23672,0
332,28,4320,6,6,35168,198,4096,9,0,5,262144,320,1032,0
34404,84,11296,10,10,11200,84,0,14,10,4,262144,16736,1048,0
332,56,17392,10,6,194192,15643,229376,14,10,5,1048576,16704,1032,0
34404,84,42192,10,10,0,0,37168,14,10,6,524288,49504,2064,0
332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3120,0
332,56,57680,0,6,75072,3600,57344,12,0,5,1048576,320,800,0
332,0,0,0,4,0,0,8192,8,0,3,1048576,34112,16384,0
332,0,0,0,14,32960,1959,73728,46,38,11,1048576,0,2896,0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,992,0
332,0,0,0,5,0,0,4096,9,0,3,1048576,32768,4728,0
332,0,0,7,8,0,0,0,7,0,3,1048576,0,2532,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
